DATE;PAYS;"CODE 
12/01/2019;LU;1250;LUXEMBOURG;ANG;ANG;2ŠME VISITE;19;22,6
12/01/2019;LU;4407;BELVAUX;LUX;LUX;GOOGLE;8;4,7
12/01/2019;LU;5442;ROEDT;FR;FR;GOOGLE;30;40
12/01/2019;LU;57970;YUTZ;FR;FR ;Presse JOURNAL ESSENTIEL;33;44
12/01/2019;LU;1420;LUXEMBOURG;POLONAIS;ANG;GOOGLE;19;22,6
12/01/2019;LU;3762;TETANGE;LUX;LUX;ECOLE;19;18
12/01/2019;LU;8242;MAMER;LUX;LUX;CONNAISSANCE SARAH ;24;18
12/01/2019;FR;57100;THIONVILLE;FR; FR; B.A.O;30;41
12/01/2019;BE;6740;ETALLE;DE;FR;PRESSE;36;42
12/01/2019;LU;5866;HESPERANGE;RUSSE;ANG;B.A.O;24;26
12/01/2019;BE;6700;ARLON;FR;FR;B.A.O;33;25
12/01/2019;LU;7433;MERSCH;PT;FR;ECOLE;36;43
12/01/2019;LU;4630;DIFFERDANGE;LUX;LUX;VILLE DE DIFFERDANGE;0;0
12/01/2019;LU;4319;ESCH-SUR-ALZETTE ;LUX;LUX;B.A.O. AMIS;15;11
12/01/2019;LU;4220;ESCH-SUR-ALZETTE ;LUX;LUX;GOOGLE;15;11
12/01/2019;LU;7335;ESCHDORF;LUX;LUX;B.A.O. AMIS;56;49
12/01/2019;LU;4482;SOLEUVRE;LUX;LUX;PASSAGE;6;3,4
12/01/2019;LU;3591;DUDELANGE;LUX;LUX;GOOGLE;20;20
12/01/2019;LU;4591;DIFFERDANGE;LUX;LUX;GOOGLE;0;0
12/01/2019;LU;4408;BELVAUX;LUX;LUX;Presse TELEVISION RTL;8;4,5
12/01/2019;LU;4408;BELVAUX;LUX;LUX;B.A.O. AMIS;8;4,5
12/01/2019;LU;5222;SANDWEILER;LUX;LUX;B.A.O;23;33
12/01/2019;BE;6790;AUBANGE;LUX;FR;2ŠME Viste;19;12
12/01/2019;LU;2448;LUXEMBOURG;FR;FR;3 Ôme Visite ;19;22,6
12/01/2019;LU;2448;LUXEMBOURG;ANG;FR;B.A.O. AMIS;19;22,6
13/01/2019;LU;4677;DIFFERDANGE;FR;FR;ECOLE;0;0
13/01/2019;LU;1225;LUXEMBOURG;FR;FR;GOOGLE;19;22,6
13/01/2019;LU;9184;SCHRONDWEILER;HEBREISCH;LUX;GOOGLE;41;60
13/01/2019;LU;5959;ITZIG;LUX;LUX;ECOLE;25;28
13/01/2019;LU;5364;SCHRASSIG;FR;FR;OFFICE DU TOURISME Luxembourg ;27;38
13/01/2019;LU;7350;LORENTZWEILER;POLONAIS;FR;GOOGLE;29;44
13/01/2019;LU;3336;HELLANGE;LUX;LUX;FB;17;23
13/01/2019;FR;57330;HETTANGE-GRANDE;FR;FR;2ŠME Visite;24;31
13/01/2019;LU;7220;WALFERDANGE;ANG;FR;Presse RADIO;26;34
13/01/2019;LU;7319;STEINSEL;LUX;LUX;Neutre NE SE RAPPELLE PAS ;28;35
13/01/2019;LU;4489;BELVAUX;LUX;LUX;GOOGLE;8;4,5
13/01/2019;DE;66787;SAARBRUCKEN;DE;DE;Google QUOI FAIRE AVEC LES ENFANTS AU Luxembourg;65;106
13/01/2019;LU;5410;BEYREN;LUX;LUX;Neutre NE SE RAPPELLE PAS;31;46
13/01/2019;LU;5323;CONTERN;LUX;LUX;NE SE RAPPELLE PAS ;25;36
13/01/2019;LU;5418;WORMELDANGE;DE;DE;GOOGLE;36;55
13/01/2019;FR;54560;AUDUN-LE-ROMAN;FR;FR;REPUBLICAIN LORRAIN;23;23
13/01/2019;LU;3935;MONDERCANGE;FR;FR;B.A.O;12;9,3
13/01/2019;LU;3428;DUDELANGE;LUX;LUX;2ŠME VISITE;18;20
13/01/2019;LU;6170;GODBRANGE;LUX;LUX;B.A.O;34;47
13/01/2019;LU;5374;MUNSBACH;DE;LUX;QUOI FAIRE AVEC LES ENFANTS AU Luxembourg;26;40
13/01/2019;LU;4696;LASAUVAGE;LUX;LUX;FAMILLE;9;6,3
13/01/2019;LU;5782;BISSEN;FR;FR;FLYER LSC;36;55
13/01/2019;LU;3333;EHLANGE;FR;FR;3ŠME VISITE ;14;16
13/01/2019;LU;4994;SPRINKANGE;LUX;LUX;B.A.O. + CONNAISSAIS LE LEIERBUD;15;11
13/01/2019;LU;5405;DIFFERDANGE;LUX;LUX;AMIS;0;0
13/01/2019;LU;4672;DIFFERDANGE;LUX;LUX;AMIS;0;0
13/01/2019;LU;4951;BASCHARAGE;LUX;LUX;B.A.O;10;6,1
13/01/2019;FR;54710;NANCY;FR;FR;FAMILLE;82;122
13/01/2019;LU;6161;BOURGLINSTER;LUX;LUX;FAMILLE;31;44
13/01/2019;LU;4487;BELVAUX;LUX;LUX;B.A.O;8;4,7
13/01/2019;BE;1300;LIMAL;FR;FR;B.A.O;108;187
13/01/2019;LU;8110;STRASSEN;IT;FR;B.A.O;20;26
13/01/2019;FR;54440;HERSERANGE;FR;FR;2ŠME VISITE ;17;13
13/01/2019;LU;1250;LUXEMBOURG;ANG;ANG;3ŠME VISITE ;19;22,6
13/01/2019;BE;6791;ATHUS;HONGROIS;FR;3ŠME VISITE ;12;9,5
13/01/2019;LU;5978;ITZIG;LUX;LUX;ECOLE;25;28
13/01/2019;FR;57570;GAVISSE;FR;FR;FLYER LSC;32;42
13/01/2019;LU;6630;WASSERBILLIG;LUX;LUX;A TRAVAILLER AVANT CHE ARCELOR MITTALE;38;59
13/01/2019;LU;4916;BASCHARAGE;FR;FR;ECOLE MONTESSORI ;10;6,1
14/01/2019;LU;8293;KEISPELT;NL;FR ;2 Ôme Visite ;32;37
14/01/2019;LU;7332;HEISDORF;LUX;LUX;B.A.O;41;36
15/01/2019;LU;1543;LUXEMBOURG;LUX;LUX;RTL LUX;19;22,6
15/01/2019;DE;54310;ROLINGEN;LUX;LUX;GOOGLE;43;47
15/01/2019;LU;4323;ESCH SUR ALZETTE ;RUSSE;FR;QUOI FAIRE AVEC LES ENFANTS AU Luxembourg ;15;11
15/01/2019;LU;4480;BELVAUX;LUX;LUX;2ŠME VISITE ;8;4,7
15/01/2019;LU;1941;LUXEMBOURG;ESP;FR;AMIS;19;22,6
17/01/2019;LU;4620;DIFFERDANGE;FR;FR;TRAVAILLE EN FACE ;0;0
17/01/2019;LU;4531;OBERKORN;FR;FR;FLYER LSC;4;1,3
17/01/2019;LU;5421;ERPELDANGE;ROUMAIN;FR;ECOLE;48;65
18/01/2019;LU;4989;SANEM;LUX;LUX;CONNAISSANCE MONSIEUR DIDIER;9;5,5
18/01/2019;BE;1170;BRUXELLES;FR;FR;FAMILLE ;136;208
18/01/2019;PT;2745;QUELUZ;PT;PT;Luxembourg CARD ;/;1694
18/01/2019;PT;2925;AZEITAO;PT;PT;Luxembourg CARD ;/;1700
19/01/2019;LU;4022;ESCH-SUR-ALZETTE ;LUX;FR;PASSE DEVANT;17;10,3
19/01/2019;LU;8055;BERTRANGE;LUX;FR;B.A.O.;23;19,4
19/01/2019;LU;8422;STEINFORT;LUX;ANG;B.A.O.;26;19,7
19/01/2019;LU;5465;WALDBREDIMUS;LUX;FR;B.A.O.;32;38,8
19/01/2019;LU;1137;HOWALD;FR;LUX;B.A.O.;25;26
19/01/2019;LU;6251;GEYERSHAFF;LUX;ANG;ECOLE;44;56,7
19/01/2019;DE;54662;HERFORST;DE;DE;FB;66;96,8
19/01/2019;LU;5762;HASSEL;ANG;FR;TRIPADVISOR;26;32
19/01/2019;LU;3630;KAYL;LUX;FR;B.A.O. ;15;17
19/01/2019;LU;1716;LUXEMBOURG;RUSSE;ANG;FB;29;27
19/01/2019;LU;9115;SCHIEREN;CHINOIS;ANG;B.A.O.;42;61,6
19/01/2019;LU;3961;EHLANGE-SUR-MESS;PT;FR;B.A.O.;16;12,9
19/01/2019;LU;5401;AHN;LU;FR;STUART;38;53,7
19/01/2019;DE;66578;SCHIFFWEILER;DE;SAAROIS;INTERNET (SAIS PLUS);73;114
19/01/2019;LU;3860;SCHIFFLANGE;FR;FR;PASSE DEVANT;14;13,4
19/01/2019;LU;7230;HELMSANGE;TCHEQUE;FR;2EME VISITE;30;35
19/01/2019;FR;57330;ESCHERANGE;FR;ANG;PASSE DEVANT;23;28,8
19/01/2019;LU;4932;HAUTSCHARAGE;FR;FR;TRAVAILLE A LA COMMUNE DIFF;12;6,8
20/01/2019;BE;6700;ARLON;FR;FR;B.A.O.;28;26,3
20/01/2019;LU;6225;ALTRIER;FR;ANG;B.A.O.;36;50,7
20/01/2019;LU;7347;STEINSEL;LUX;FR;B.A.O.;30;35,9
20/01/2019;LU;1541;LUXEMBOURG;ESP;FR;2EME VISITE;22;27,7
20/01/2019;BE;6700;ARLON;FR;FR;B.A.O.;28;26,3
20/01/2019;LU;7265;BERELDANGE;ESP;FR;B.A.O.;26;33,5
20/01/2019;LU;7220;WALFERDANGE;FR;ANG;2EME VISITE;30;35,6
20/01/2019;LU;7224;WALFERDANGE;DE;FR;2EME VISITE;32;35,9
20/01/2019;LU;5310;CONTERN;FR;ANG;JOURNAL (SAIS PLUS);27;36
20/01/2019;FR;54800;ABBEVILLE-LES-CONFLANS;FR;FR;INTERNET (SAIS PLUS);57;54,7
20/01/2019;LU;8470;EISCHEN;BULGARE;ANG;VISIT LUXEMBOURG;31;24,6
20/01/2019;LU;2141;LUXEMBOURG;FR;ANG;ECOLE;24;28
20/01/2019;FR;57690;CREHANGE;FR;ANG;REPUBLICAIN LORRAIN;70;101
20/01/2019;LU;2342;LUXEMBOURG;DANOIS;ANG;FB;19;24,3
20/01/2019;LU;3630;KAYL;LUX;FR;ECOLE;15;17
20/01/2019;LU;4666;DIFFERDANGE;IT;FR;PASSAGE;5;2,1
20/01/2019;LU;1467;LUXEMBOURG;FR;ANG;INTERNET (SAIS PLUS);22;26,5
20/01/2019;LU;1310;LUXEMBOURG;LUX;DE;Presse RTL LUX;25;33,1
20/01/2019;LU;4888;LAMADELAINE;LUX;FR;A CONSTRUIT LA LEIERBUD;12;6,8
20/01/2019;LU;5836;ALZINGEN;FR;ANG;VISIT LUXEMBOURG;24;28,9
21/01/2019;LU;4535;DIFFERDANGE;LUX;DE;PASSAGE;2;0,9
24/01/2019;LU;2444;LUXEMBOURG;LUX;FR;ECOLE;25;27,3
26/01/2019;LU;3327;CRAUTHEM;LUX;LUX;2ŠME VISITE;21;26
26/01/2019;LU;2443;LUXEMBOURG;LUX;LUX;B.A.O;19;24,3
26/01/2019;LU;1328;LUXEMBOURG;LUX;LUX;Presse RADIO;19;24,3
26/01/2019;FR;57390;AUDUN-LE-TICHE;FR;FR;SCIENCE DAY;16;11
26/01/2019;LU;7714;COLMAR-BERG;LUX;LUX;B.A.O. AMIS;38;59
26/01/2019;LU;5243;SANDWEILER;IT;FR;B.A.O. AMIS;23;33
26/01/2019;LU;4408;BELVAUX;LUX;LUX;PRESSE;8;4,7
26/01/2019;DE;54329;KONZ;DE;DE;GOOGLE;50;66
26/01/2019;LU;1541;LUXEMBOURG;ANG;FR;GOOGLE;19;24,3
26/01/2019;LU;5741;FILSDORF;LUX;DE;Presse REPORTAGE RTL;25;32
26/01/2019;DE;54636;TATTENHEIM;DE;DE;GOOGLE;;
26/01/2019;LU;8224;MAMER;ANG ;LUX;B.A.O;24;18
26/01/2019;LU;4243;ESCH SUR ALZETTE ;LUX;LUX;ECOLE;15;11
26/01/2019;LU;7561;MERSCH;LUX;LUX;GOOGLE;36;43
26/01/2019;LU;3341;HUNCHERANGE;LUX ;DE;B.A.O.;15;17
26/01/2019;LU;4291;ESCH SUR ALZETTE ;FR;FR;ECOLE;15;11
26/01/2019;LU;3220;BETTEMBOURG;LUX;LUX;GOOGLE;19;20
26/01/2019;BE;6771;MUSSON;FR;FR;GOOGLE;27;19
26/01/2019;LU;1250;LUXEMBOURG;ANG;ANG;2ŠME Visite;19;24,3
26/01/2019;LU;3863;SCHIFFLANGE;CAPVERDIEN;FR;PETIT WEB . LU ;21;20
26/01/2019;LU;3488;DUDELANGE;FR;FR;ECOLE;18;20
27/01/2019;ECOSSE;;FIFE;ANG;ANG;GOOGLE;790;1293
27/01/2019;LU;4408;BELVAUX;NL;FR;GOOGLE;8;4,5
27/01/2019;LU;2380;LUXEMBOURG;ESP;FR;GOOGLE;19;24,3
27/01/2019;LU;1511;LUXEMBOURG;ESP;FR ;ENOVOS ;19;24,3
27/01/2019;LU;8393;OLM;FR;ANG;B.A.O. FAMILLE;23;34
27/01/2019;LU;8077;BERTRANGE;POLONAIS;FR;B.A.O. AMIS;21;26
27/01/2019;LU;2128;LUXEMBOURG;POLONAIS;FR;B.A.O. AMIS;19;24,3
27/01/2019;LU;1626;LUXEMBOURG;RUSSE;ANG;GOOGLE;19;24,3
27/01/2019;LU;3273;BETTEMBOURG;LUX;LUX;2ŠME VISITE;18;20
27/01/2019;LU;6959;NIEDERANVEN;DE;ANG;GOOGLE;27;41
27/01/2019;LU;8272;MAMER;DE;ANG;GOOGLE;24;18
27/01/2019;LU;4499;LIMPACH;LUX;LUX;GOOGLE;16;13
27/01/2019;LU;5433;NIEDERDONVEN;LUX;LUX;ECOLE;33;51
27/01/2019;LU;2410;LUXEMBOURG;LETTON;FR;2ŠME VISITE;19;24,3
27/01/2019;LU;4319;ESCH SUR ALZETTE ;FR;FR;BIZ LEAD;13;11
27/01/2019;LU;4970;BETTANGE-SUR-MESS;FR;FR;GOOGLE;16;12
27/01/2019;LU;8282;KEHLEN;FR;FR;Presse ESSENTIEL;25;36
27/01/2019;LU;4740;PETANGE;LUX;LUX;ECOLE;9;5,1
27/01/2019;LU;4926;BASCHARAGE;LUX;LUX;ECOLE;9;6,1
27/01/2019;LU;1455;LUXEMBOURG;LUX;LUX;ECOLE;19;24,3
27/01/2019;LU;8010;STRASSEN;LUX;LUX;ECOLE;20;26
27/01/2019;LU;2141;LUXEMBOURG;LUX;LUX;GOOGLE;19;24,3
27/01/2019;BE;6792;HALANZI;FR;FR;GOOGLE;20;18
27/01/2019;LU;2157;LUXEMBOURG;LUX;FR;AMIS;19;24,3
27/01/2019;LU;5837;ALZINGEN;FR;FR;2ŠME Visite;23;26
27/01/2019;LU;2628;LUXEMBOURG;DE;ANG;ECOLE;19;24,3
27/01/2019;LU;4665;OBERKORN;FR;LUX;COMMUNE DE DIFFERDANGE;3;1,3
27/01/2019;LU;2153;LUXEMBOURG;LUX;LUX;B.A.O. FAMILLE;19;24,3
27/01/2019;LU;4460;BELVAUX;ROUMAIN;FR;GOOGLE;4,7;8
27/01/2019;LU;7255;HELMSANGE;LUX;LUX;ECOLE;26;34
27/01/2019;LU;3655;KAYL;LUX;LUX;B.A.O. FAMILLE;15;17
28/01/2019;LU;8078;BERTRANGE;LUX;LUX;CONNAISSANCE MONSIEUR DIDIER 5 Mr SCHAADECK;23;26
29/01/2019;LU;1727;LUXEMBOURG;ESP;FR;2ŠME Visite ;19;24,3
30/01/2019;LU;3260;BETTEMBOURG;LUX;LUX;CONNAISSANCE MONSIEUR DIDIER;18;20
